Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength,Water/Cement Ratio
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264,0.540353277
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546,0.40230059
439,177,0,186,11.1,884.9,707.9,56,71.69860924,0.301948052
193.5,290.2,0,185.7,0,998.2,704.3,28,32.6266938,0.38391565
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824,0.509170501
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.2293658,0.462096915
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.45595358,0.410932162
237.5,237.5,0,228,0,932,594,270,38.40795006,0.48
298,0,107,210,11,880,744,28,31.87447548,0.518518519
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.10006412,0.293054771
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.4595208,0.64952957
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592,0.492288536
342,38,0,228,0,932,670,90,50.45930106,0.6
424,22,132,168,8.92,822,750,56,74.36491146,0.290657439
144,15,195,176,6,1021,709,28,15.340841,0.497175141
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.80073164,0.297003284
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,34.20490436,0.540351824
148,0,137,158,16,1002,830,28,17.95395504,0.554385965
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582,0.52196732
252,97,76,194,8,835,821,28,33.39821744,0.456470588
475,118.8,0,181.1,8.9,852.1,781.5,56,72.29845336,0.304984843
146,173,0,182,3,986,817,28,23.73865868,0.570532915
380,0,0,228,0,932,670,365,52.51669744,0.6
152,0,112,184,8,992,816,28,12.17614616,0.696969697
237.5,237.5,0,228,0,932,594,180,36.2519586,0.48
300,0,0,184,0,1075,795,28,26.84819544,0.613333333
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.28766142,0.571555293
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.4994406,0.296878147
198.6,132.4,0,192,0,978.4,825.5,360,44.2960751,0.580060423
475,0,0,228,0,932,594,270,42.13112046,0.48
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,51.4349096,0.398746583
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23419213,0.312489083
136,162,126,172,10,923,764,28,29.06830816,0.405660377
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.09954452,0.293054771
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312,0.540351824
540,0,0,173,0,1125,613,90,69.65776028,0.32037037
322.5,148.6,0,185.8,8.5,951,709.5,28,52.42637609,0.394396094
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476,0.298948513
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208,0.486782055
289,134,0,195,6,924,760,28,46.24315532,0.460992908
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778,0.462096915
228,342.1,0,185.7,0,955.8,674.3,28,39.6993386,0.325732328
284,119.7,0,168.3,7.2,970.4,794.2,28,40.9348796,0.416893733
520,0,0,175,5.2,870,805,28,51.021224,0.336538462
355,19,97,145,13.13,967,871,28,44.02993736,0.307855626
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.3675208,0.415465529
153.1,145,113,178.5,8,1001.9,688.7,28,25.5595648,0.434200924
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28,39.1622368,0.421968436
427.5,47.5,0,228,0,932,594,28,37.42751518,0.48
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402356,0.621851118
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.21973308,0.462096915
334,17.6,158,189,15.3,967,633,28,44.32641204,0.370879121
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89478012,0.331941545
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188,0.472133592
387,20,94,157,14.32,938,845,56,56.33708396,0.313373253
198.6,132.4,0,192,0,978.4,825.5,28,28.02168359,0.580060423
284,15,141,179,5.46,842,801,28,43.73346268,0.406818182
366,187,0,191.3,6.6,824.3,756.9,28,65.90907927,0.345931284
167,75.4,167,164.03,7.91,1007.3,770.1,100,56.8128224,0.400659502
157,236,0,192,0,935.4,781.2,90,43.37700359,0.488549618
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.14025352,0.415465529
265,111,86,195,6,833,790,28,41.540929,0.422077922
359,19,141,154,10.91,942,801,56,66.78067543,0.29672447
385,0,136,158,20,903,768,28,55.55108132,0.303262956
480,0,0,192,0,936.2,712.2,90,54.31554033,0.4
336,0,0,182,3,986,817,28,44.86420332,0.541666667
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52471136,0.371470751
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684,0.486782055
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.85991653,0.51111679
141.3,212,0,203.5,0,971.8,748.5,28,29.89223198,0.575997736
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428,0.428907168
349,0,0,192,0,1047,806,360,42.1269836,0.550143266
318,0,126,210,6,861,737,28,40.0585556,0.472972973
236,0,0,193,0,968,885,365,25.08313688,0.81779661
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.66177712,0.602606657
480,0,0,192,0,936.2,712.2,28,43.94237391,0.4
331,0,0,192,0,1025,821,120,39.38286912,0.580060423
255.3,98.8,77,188.6,6.5,919,749.3,28,33.798803,0.437485502
339.2,0,0,185.7,0,1069.2,754.3,28,31.89998609,0.547464623
298.1,0,107.5,163.6,12.8,953.2,784,28,35.86585204,0.403353057
190.34,0,125.18,166.61,9.88,1079,798.9,100,33.56369168,0.528048935
250,0,0,182,0,1100,820,28,20.87043852,0.728
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43165204,0.449327818
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,53.65502232,0.412003663
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436,0.298948513
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.8472962,0.40230059
160,188,146,203,11,829,710,28,32.83974188,0.410931174
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.49904084,0.487400493
475,118.8,0,181.1,8.9,852.1,781.5,28,68.29949256,0.304984843
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316,0.298948513
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728,0.472133592
173,116,0,192,0,946.8,856.8,90,32.10269204,0.664359862
290.2,193.5,0,185.7,0,998.2,704.3,28,33.0431373,0.38391565
